ArtistName,AlbumName,TrackName
AC/DC,For Those About To Rock We Salute You,For Those About To Rock (We Salute You)
AC/DC,For Those About To Rock We Salute You,Put The Finger On You
AC/DC,For Those About To Rock We Salute You,Let's Get It Up
AC/DC,For Those About To Rock We Salute You,Inject The Venom
AC/DC,For Those About To Rock We Salute You,Snowballed
AC/DC,For Those About To Rock We Salute You,Evil Walks
AC/DC,For Those About To Rock We Salute You,C.O.D.
AC/DC,For Those About To Rock We Salute You,Breaking The Rules
AC/DC,For Those About To Rock We Salute You,Night Of The Long Knives
AC/DC,For Those About To Rock We Salute You,Spellbound
AC/DC,Let There Be Rock,Go Down
AC/DC,Let There Be Rock,Dog Eat Dog
AC/DC,Let There Be Rock,Let There Be Rock
AC/DC,Let There Be Rock,Bad Boy Boogie
AC/DC,Let There Be Rock,Problem Child
AC/DC,Let There Be Rock,Overdose
AC/DC,Let There Be Rock,Hell Ain't A Bad Place To Be
AC/DC,Let There Be Rock,Whole Lotta Rosie
Accept,Balls to the Wall,Balls to the Wall
Accept,Restless and Wild,Fast As a Shark
Accept,Restless and Wild,Restless and Wild
Accept,Restless and Wild,Princess of the Dawn
Aerosmith,Big Ones,Walk On Water
Aerosmith,Big Ones,Love In An Elevator
Aerosmith,Big Ones,Rag Doll
Aerosmith,Big Ones,What It Takes
Aerosmith,Big Ones,Dude (Looks Like A Lady)
Aerosmith,Big Ones,Janie's Got A Gun
Aerosmith,Big Ones,Cryin'
Aerosmith,Big Ones,Amazing
Aerosmith,Big Ones,Blind Man
Aerosmith,Big Ones,Deuces Are Wild
Aerosmith,Big Ones,The Other Side
Aerosmith,Big Ones,Crazy
Aerosmith,Big Ones,Eat The Rich
Aerosmith,Big Ones,Angel
Aerosmith,Big Ones,Livin' On The Edge
Alanis Morissette,Jagged Little Pill,All I Really Want
Alanis Morissette,Jagged Little Pill,You Oughta Know
Alanis Morissette,Jagged Little Pill,Perfect
Alanis Morissette,Jagged Little Pill,Hand In My Pocket
Alanis Morissette,Jagged Little Pill,Right Through You
Alanis Morissette,Jagged Little Pill,Forgiven
Alanis Morissette,Jagged Little Pill,You Learn
Alanis Morissette,Jagged Little Pill,Head Over Feet
Alanis Morissette,Jagged Little Pill,Mary Jane
Alanis Morissette,Jagged Little Pill,Ironic
Alanis Morissette,Jagged Little Pill,Not The Doctor
Alanis Morissette,Jagged Little Pill,Wake Up
Alanis Morissette,Jagged Little Pill,You Oughta Know (Alternate)
Alice In Chains,Facelift,We Die Young
Alice In Chains,Facelift,Man In The Box
Alice In Chains,Facelift,Sea Of Sorrow
Alice In Chains,Facelift,Bleed The Freak
Alice In Chains,Facelift,I Can't Remember
Alice In Chains,Facelift,"Love, Hate, Love"
Alice In Chains,Facelift,It Ain't Like That
Alice In Chains,Facelift,Sunshine
Alice In Chains,Facelift,Put You Down
Alice In Chains,Facelift,Confusion
Alice In Chains,Facelift,I Know Somethin (Bout You)
Alice In Chains,Facelift,Real Thing
Antônio Carlos Jobim,Warner 25 Anos,Desafinado
Antônio Carlos Jobim,Warner 25 Anos,Garota De Ipanema
Antônio Carlos Jobim,Warner 25 Anos,Samba De Uma Nota Só (One Note Samba)
Antônio Carlos Jobim,Warner 25 Anos,Por Causa De Você
Antônio Carlos Jobim,Warner 25 Anos,Ligia
Antônio Carlos Jobim,Warner 25 Anos,Fotografia
Antônio Carlos Jobim,Warner 25 Anos,Dindi (Dindi)
Antônio Carlos Jobim,Warner 25 Anos,Se Todos Fossem Iguais A Você (Instrumental)
Antônio Carlos Jobim,Warner 25 Anos,Falando De Amor
Antônio Carlos Jobim,Warner 25 Anos,Angela
Antônio Carlos Jobim,Warner 25 Anos,Corcovado (Quiet Nights Of Quiet Stars)
Antônio Carlos Jobim,Warner 25 Anos,Outra Vez
Antônio Carlos Jobim,Warner 25 Anos,O Boto (Bôto)
Antônio Carlos Jobim,Warner 25 Anos,"Canta, Canta Mais"
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Garota De Ipanema
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tim Tim Por Tim Tim
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tarde Em Itapoã
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Tanto Tempo
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Eu Vim Da Bahia - Live
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Alô Alô Marciano
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Linha Do Horizonte
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Only A Dream In Rio
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Abrir A Porta
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Alice
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Momentos Que Marcam
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Um Jantar Pra Dois
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Bumbo Da Mangueira
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Mr Funk Samba
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Santo Antonio
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Por Você
